label,length,fixed_score,windowed_score,shuffled_score,delta_windowed,delta_shuffled,pass_deltas,z_ngram,z_coverage,z_compress,penalties
B0064,67,3.797429219290239,3.797429219290239,-0.8108240922499105,0.0,4.60825331154015,False,5.153574978049612,4.292564713671622,-0.12038585308576924,0.0
B0046,68,3.484674172658338,3.484674172658338,0.1389448689514033,0.0,3.3457293037069347,False,4.908494565940948,3.714082253148759,-0.12038585308576924,0.0
B0049,68,3.484674172658338,3.484674172658338,0.8913770734415251,0.0,2.5932970992168127,False,4.908494565940948,3.714082253148759,-0.12038585308576924,0.0
B0051,68,3.484674172658338,3.484674172658338,-0.1642192729979362,0.0,3.6488934456562743,False,4.908494565940948,3.714082253148759,-0.12038585308576924,0.0
B0010,73,3.798517735701303,3.798517735701303,-0.5774638910211246,0.0,4.375981626722427,False,5.01292951650193,4.476504639693109,-0.12038585308576924,0.0
B0061,73,3.798517735701303,3.798517735701303,-0.4545519876685846,0.0,4.2530697233698875,False,5.01292951650193,4.476504639693109,-0.12038585308576924,0.0
B0012,74,3.736133638204759,3.736133638204759,0.31093361346428366,0.0,3.4252000247404752,False,4.924344360932532,4.412159561149353,-0.12038585308576924,0.0
B0065,74,3.736133638204759,3.736133638204759,-0.0007623626725041799,0.0,3.7368960008772634,False,4.924344360932532,4.412159561149353,-0.12038585308576924,0.0
B0067,74,3.736133638204759,3.736133638204759,-0.46550634923737033,0.0,4.201639987442129,False,4.924344360932532,4.412159561149353,-0.12038585308576924,0.0
B0015,75,3.6754131166414554,3.6754131166414554,-0.35653434190118294,0.0,4.031947458542638,False,4.838121476178318,4.349530351366761,-0.12038585308576924,0.0
B0021,75,4.291293925876311,4.291293925876311,-0.4109315510116188,0.0,4.70222547688793,False,6.034464002143039,4.571035130083132,-0.12038585308576924,0.0
B0030,75,3.6754131166414554,3.6754131166414554,0.5817427866012828,0.0,3.0936703300401724,False,4.838121476178318,4.349530351366761,-0.12038585308576924,0.0
B0063,75,3.274946451814706,3.274946451814706,-0.554782613065204,0.0,3.82972906487991,False,4.173486739531249,4.059870256122279,-0.12038585308576924,0.0
B0013,65,3.7398886149811594,3.7398886149811594,0.4229864859746596,0.0,3.3169021290065,False,5.359604115701401,3.86326838152195,-0.12038585308576924,0.0
B0025,65,3.126219145581729,3.126219145581729,-0.15523213035354033,0.0,3.2814512759352694,False,4.439340634190075,3.2931229451809974,-0.12038585308576924,0.0
B0017,67,3.0654890377740496,3.0654890377740496,0.7235305014876634,0.0,2.341958536286386,False,3.963184404950384,3.7318092176100883,-0.12038585308576924,0.0
B0029,67,3.0654890377740496,3.0654890377740496,0.0233126743557079,0.0,3.0421763634183416,False,3.963184404950384,3.7318092176100883,-0.12038585308576924,0.0
B0062,67,3.0654890377740496,3.0654890377740496,-0.14584338047055306,0.0,3.2113324182446026,False,3.963184404950384,3.7318092176100883,-0.12038585308576924,0.0
B0028,68,3.468888198609547,3.468888198609547,1.1127804696896066,0.0,2.35610772891994,False,4.908494565940948,3.6689794701522134,-0.12038585308576924,0.0
B0034,68,3.468888198609547,3.468888198609547,-0.4641527799249666,0.0,3.9330409785345135,False,4.908494565940948,3.6689794701522134,-0.12038585308576924,0.0
B0036,68,3.2709638836521484,3.2709638836521484,-0.06830415001016861,0.0,3.339268033662317,False,4.468662754924505,3.6689794701522134,-0.12038585308576924,0.0
B0044,68,3.468888198609547,3.468888198609547,0.3967498865794048,0.0,3.072138312030142,False,4.908494565940948,3.6689794701522134,-0.12038585308576924,0.0
B0066,68,3.468888198609547,3.468888198609547,-0.5268969165551238,0.0,3.9957851151646704,False,4.908494565940948,3.6689794701522134,-0.12038585308576924,0.0
B0003,75,3.812756915490421,3.812756915490421,1.1477401822328195,0.0,2.665016733257602,False,4.971048423507731,4.571035130083132,-0.12038585308576924,0.0
B0032,65,2.98817962335503,2.98817962335503,0.07202125253887559,0.0,2.9161583708161545,False,4.1325861403529665,3.2931229451809974,-0.12038585308576924,0.0
B0041,65,2.98817962335503,2.98817962335503,-0.29327165258023924,0.0,3.281451275935269,False,4.1325861403529665,3.2931229451809974,-0.12038585308576924,0.0
B0056,65,2.98817962335503,2.98817962335503,0.5739517194104434,0.0,2.4142279039445866,False,4.1325861403529665,3.2931229451809974,-0.12038585308576924,0.0
B0016,67,2.8472539108283175,2.8472539108283175,-0.5522141844805001,0.0,3.3994680953088174,False,3.5167879400381743,3.682218595509409,-0.12038585308576924,0.0
B0018,67,3.048132320038812,3.048132320038812,0.407712775041459,0.0,2.640419544997353,False,3.963184404950384,3.682218595509409,-0.12038585308576924,0.0
B0035,67,3.048132320038812,3.048132320038812,-0.31499943529681407,0.0,3.363131755335626,False,3.963184404950384,3.682218595509409,-0.12038585308576924,0.0
B0040,67,3.048132320038812,3.048132320038812,0.48280099133561283,0.0,2.5653313287031994,False,3.963184404950384,3.682218595509409,-0.12038585308576924,0.0
B0060,67,3.048132320038812,3.048132320038812,1.0680795012318582,0.0,1.980052818806954,False,3.963184404950384,3.682218595509409,-0.12038585308576924,0.0
B0052,74,3.0173504497037897,3.0173504497037897,0.29808064308015325,0.0,2.7192698066236365,False,4.385451331218692,3.051355775064377,-0.12038585308576924,0.0
B0069,75,3.1498922820304327,3.1498922820304327,0.10862569340319393,0.0,3.0412665886272388,False,4.306413686860663,3.5316665530293956,-0.12038585308576924,0.0
B0020,65,2.7604771431819475,2.7604771431819475,-0.017192608126841633,0.0,2.777669751308789,False,3.672454399597304,3.2341423828008993,-0.12038585308576924,0.0
B0047,65,2.967536426521996,2.967536426521996,-0.8304129802456046,0.0,3.7979494067676005,False,4.1325861403529665,3.2341423828008993,-0.12038585308576924,0.0
B0048,65,2.8501401011283316,2.8501401011283316,0.8856907219383052,0.0,1.9644493791900264,False,3.825831646515858,3.2931229451809974,-0.12038585308576924,0.0
B0055,65,2.967536426521996,2.967536426521996,-0.5972931694841518,0.0,3.5648295960061476,False,4.1325861403529665,3.2341423828008993,-0.12038585308576924,0.0
B0057,65,2.967536426521996,2.967536426521996,0.4025523941448593,0.0,2.5649840323771365,False,4.1325861403529665,3.2341423828008993,-0.12038585308576924,0.0
B0068,65,2.967536426521996,2.967536426521996,-0.7073902192603356,0.0,3.6749266457823317,False,4.1325861403529665,3.2341423828008993,-0.12038585308576924,0.0
B0070,65,2.8501401011283316,2.8501401011283316,0.8166709608249556,0.0,2.033469140303376,False,3.825831646515858,3.2931229451809974,-0.12038585308576924,0.0
B0004,74,2.896099518018176,2.896099518018176,-0.4900504128763363,0.0,3.386149930894512,False,4.116004816361772,3.051355775064377,-0.12038585308576924,0.0
B0037,74,2.896099518018176,2.896099518018176,-0.34425541755175654,0.0,3.2403549355699326,False,4.116004816361772,3.051355775064377,-0.12038585308576924,0.0
B0039,74,2.896099518018176,2.896099518018176,-0.40059655993318677,0.0,3.2966960779513625,False,4.116004816361772,3.051355775064377,-0.12038585308576924,0.0
B0007,75,2.8453867333514515,2.8453867333514515,-0.25569698157402326,0.0,3.101083714925475,False,4.040559792201835,3.003462849936514,-0.12038585308576924,0.0
B0014,75,2.8453867333514515,2.8453867333514515,0.06760545937427039,0.0,2.777781273977181,False,4.040559792201835,3.003462849936514,-0.12038585308576924,0.0
B0058,75,2.8453867333514515,2.8453867333514515,-0.34569450752558234,0.0,3.191081240877034,False,4.040559792201835,3.003462849936514,-0.12038585308576924,0.0
B0005,65,2.5123405711790645,2.5123405711790645,-0.5207650277500875,0.0,3.033105598929152,False,3.365699905760195,2.919579383440374,-0.12038585308576924,0.0
B0001,65,2.2642039991761824,2.2642039991761824,-0.017192608126841466,0.0,2.281396607303024,False,3.0589454119230877,2.6050163840798484,-0.12038585308576924,0.0
