neighbor_type,neighbor_id,original_score,neighbor_score,delta_score,delta_coverage,within_tie
single,single_41,0.24216666666666664,0.24216666666666664,0.0,0.0,True
single,single_42,0.24216666666666664,0.23283333333333334,-0.009333333333333305,-0.026666666666666616,True
single,single_43,0.24216666666666664,0.2243,-0.017866666666666642,-0.053333333333333344,True
single,single_44,0.24216666666666664,0.2243,-0.017866666666666642,-0.053333333333333344,True
single,single_45,0.24216666666666664,0.21816666666666665,-0.023999999999999994,-0.07999999999999996,False
single,single_46,0.24216666666666664,0.24269999999999997,0.0005333333333333301,0.0,True
single,single_47,0.24216666666666664,0.24216666666666664,0.0,0.0,True
double,double_0,0.24216666666666664,0.2323,-0.009866666666666635,-0.026666666666666616,True
double,double_1,0.24216666666666664,0.22296666666666665,-0.019199999999999995,-0.053333333333333344,True
double,double_2,0.24216666666666664,0.21496666666666664,-0.027200000000000002,-0.07999999999999996,False
double,double_3,0.24216666666666664,0.21576666666666666,-0.02639999999999998,-0.07999999999999996,False
double,double_4,0.24216666666666664,0.2163,-0.02586666666666665,-0.07999999999999996,False
double,double_5,0.24216666666666664,0.2251,-0.017066666666666647,-0.053333333333333344,True
double,double_6,0.24216666666666664,0.2251,-0.017066666666666647,-0.053333333333333344,True
double,double_7,0.24216666666666664,0.2331,-0.00906666666666664,-0.026666666666666616,True
double,double_8,0.24216666666666664,0.2251,-0.017066666666666647,-0.053333333333333344,True
double,double_9,0.24216666666666664,0.2251,-0.017066666666666647,-0.053333333333333344,True
double,double_10,0.24216666666666664,0.2251,-0.017066666666666647,-0.053333333333333344,True
double,double_11,0.24216666666666664,0.23363333333333333,-0.00853333333333331,-0.026666666666666616,True
double,double_12,0.24216666666666664,0.23363333333333333,-0.00853333333333331,-0.026666666666666616,True
double,double_13,0.24216666666666664,0.23363333333333333,-0.00853333333333331,-0.026666666666666616,True
double,double_14,0.24216666666666664,0.23363333333333333,-0.00853333333333331,-0.026666666666666616,True
double,double_15,0.24216666666666664,0.22563333333333332,-0.016533333333333317,-0.053333333333333344,True
double,double_16,0.24216666666666664,0.22563333333333332,-0.016533333333333317,-0.053333333333333344,True
double,double_17,0.24216666666666664,0.22563333333333332,-0.016533333333333317,-0.053333333333333344,True
double,double_18,0.24216666666666664,0.21733333333333332,-0.02483333333333332,-0.07833333333333337,False
double,double_19,0.24216666666666664,0.23363333333333333,-0.00853333333333331,-0.026666666666666616,True
double,double_20,0.24216666666666664,0.23416666666666666,-0.00799999999999998,-0.026666666666666616,True
double,double_21,0.24216666666666664,0.23363333333333333,-0.00853333333333331,-0.026666666666666616,True
double,double_22,0.24216666666666664,0.23363333333333333,-0.00853333333333331,-0.026666666666666616,True
double,double_23,0.24216666666666664,0.23363333333333333,-0.00853333333333331,-0.026666666666666616,True
double,double_24,0.24216666666666664,0.23363333333333333,-0.00853333333333331,-0.026666666666666616,True
double,double_25,0.24216666666666664,0.23363333333333333,-0.00853333333333331,-0.026666666666666616,True
double,double_26,0.24216666666666664,0.2243,-0.017866666666666642,-0.053333333333333344,True
double,double_27,0.24216666666666664,0.21576666666666666,-0.02639999999999998,-0.07999999999999996,False
double,double_28,0.24216666666666664,0.21576666666666666,-0.02639999999999998,-0.07999999999999996,False
double,double_29,0.24216666666666664,0.2163,-0.02586666666666665,-0.07999999999999996,False
double,double_30,0.24216666666666664,0.23363333333333333,-0.00853333333333331,-0.026666666666666616,True
double,double_31,0.24216666666666664,0.23363333333333333,-0.00853333333333331,-0.026666666666666616,True
