global_index,section,section_index,tick_name,x,y,z,arc_length
162,K2,73,TICK_162,-22.0558,0.9744,86.1356,444.0763
163,K2,74,TICK_163,-22.2064,1.2399,83.1286,447.0987
164,K2,75,TICK_164,-22.2559,1.4944,79.7711,450.4663
165,K2,76,TICK_165,-21.1528,1.8002,76.6089,453.8293
166,K2,77,TICK_166,-21.5599,2.2799,74.5226,456.0084
167,K2,78,TICK_167,-22.0066,3.1581,75.9238,457.7213
168,K2,79,TICK_168,-20.9375,3.4476,79.1040,461.0889
169,K2,80,TICK_169,-21.5963,3.7043,77.0655,463.2466
170,K2,81,TICK_170,-22.6374,3.9539,73.8726,466.6142
171,K2,82,TICK_171,-21.0749,4.5139,75.1563,468.7125
172,K2,83,TICK_172,-21.8006,4.6876,78.4402,472.0801
173,K2,84,TICK_173,-22.5263,4.8613,81.7240,475.4476
174,K2,85,TICK_174,-23.1500,5.5228,84.6379,478.5000
175,K2,86,TICK_175,-21.6008,6.0423,85.8831,480.5544
176,K2,87,TICK_176,-22.4378,6.2394,82.6272,483.9220
177,K2,88,TICK_177,-23.2748,6.4365,79.3712,487.2896
178,K2,89,TICK_178,-22.9079,6.6786,80.5045,488.5051
179,K2,90,TICK_179,-21.9679,6.9422,83.7274,491.8726
180,K3,0,TICK_180,-21.8086,7.1490,81.8083,493.8094
181,K3,1,TICK_181,-21.8684,7.3399,78.4467,497.1769
182,K3,2,TICK_182,-22.0631,7.5338,76.1477,499.4923
183,K3,3,TICK_183,-22.9610,7.7435,79.3866,502.8599
184,K3,4,TICK_184,-23.8589,7.9533,82.6254,506.2274
185,K3,5,TICK_185,-22.6642,8.3914,81.1659,508.1638
186,K3,6,TICK_186,-24.4043,8.9942,82.0476,510.2055
187,K3,7,TICK_187,-23.0630,9.3882,79.0461,513.5166
188,K3,8,TICK_188,-22.7052,9.5888,75.7718,516.8165
189,K3,9,TICK_189,-22.7550,9.7129,72.4069,520.1840
190,K3,10,TICK_190,-22.8047,9.8371,69.0420,523.5516
191,K3,11,TICK_191,-22.8545,9.9613,65.6771,526.9192
192,K3,12,TICK_192,-23.4002,10.1225,66.8830,528.2527
193,K3,13,TICK_193,-24.1704,10.3003,70.1565,531.6202
194,K3,14,TICK_194,-24.9405,10.4781,73.4300,534.9878
195,K3,15,TICK_195,-25.1072,10.6446,76.7816,538.3477
196,K3,16,TICK_196,-25.1893,10.8094,80.1441,541.7152
197,K3,17,TICK_197,-25.2713,10.9742,83.5067,545.0828
198,K3,18,TICK_198,-25.3451,11.1472,81.1961,547.4010
199,K3,19,TICK_199,-25.4174,11.3217,77.8338,550.7686
200,K3,20,TICK_200,-25.4897,11.4962,74.4715,554.1362
201,K3,21,TICK_201,-25.8671,12.2986,73.7076,555.3066
202,K3,22,TICK_202,-24.2881,13.0165,73.2047,557.1126
203,K3,23,TICK_203,-25.5375,13.7727,73.8671,558.7162
204,K3,24,TICK_204,-24.7902,14.0962,71.8100,560.9286
205,K3,25,TICK_205,-24.8597,14.2285,68.4457,564.2962
206,K3,26,TICK_206,-24.9292,14.3607,65.0814,567.6637
207,K3,27,TICK_207,-24.9987,14.4930,61.7172,571.0313
208,K3,28,TICK_208,-25.8157,14.6768,64.6155,574.0482
209,K3,29,TICK_209,-26.6747,14.8636,67.8663,577.4157
210,K3,30,TICK_210,-27.3578,15.0837,71.1430,580.7701
211,K3,31,TICK_211,-27.5636,15.3945,74.4898,584.1377
212,K3,32,TICK_212,-27.7881,15.7722,77.8282,587.5049
213,K3,33,TICK_213,-27.3093,16.1729,81.0382,590.7750
214,K3,34,TICK_214,-26.2824,16.7106,83.1740,593.2051
215,K3,35,TICK_215,-28.1416,17.3428,80.5248,596.5028
216,K3,36,TICK_216,-28.9881,17.6025,77.4516,599.7010
217,K3,37,TICK_217,-29.1007,17.7632,74.0898,603.0686
218,K3,38,TICK_218,-29.2133,17.9239,70.7279,606.4361
219,K3,39,TICK_219,-29.3273,18.0985,70.9057,606.7101
220,K3,40,TICK_220,-29.4425,18.2855,74.2661,610.0777
221,K3,41,TICK_221,-29.5577,18.4725,77.6264,613.4452
222,K3,42,TICK_222,-27.8082,18.9969,75.9119,615.9503
223,K3,43,TICK_223,-27.9564,19.3168,72.5673,619.3135
224,K3,44,TICK_224,-28.1216,19.6006,72.0664,619.9124
225,K3,45,TICK_225,-28.2938,19.8376,75.4212,623.2800
226,K3,46,TICK_226,-29.4443,20.1885,77.5809,625.7521
227,K3,47,TICK_227,-31.2278,20.7058,75.7466,628.3622
228,K3,48,TICK_228,-31.0443,21.0884,72.4460,631.6900
229,K3,49,TICK_229,-30.1067,21.3708,69.2240,635.0575
230,K3,50,TICK_230,-30.1994,22.0267,66.1149,638.2364
231,K3,51,TICK_231,-31.0043,22.1735,62.8482,641.6040
232,K3,52,TICK_232,-31.8092,22.3203,59.5816,644.9715
233,K3,53,TICK_233,-32.6142,22.4670,56.3149,648.3391
234,K3,54,TICK_234,-32.9181,22.6922,58.1833,650.2454
235,K3,55,TICK_235,-33.0770,22.9399,61.5380,653.6129
236,K3,56,TICK_236,-33.1740,23.1244,64.8987,656.9801
237,K3,57,TICK_237,-33.2513,23.2887,68.2614,660.3477
238,K3,58,TICK_238,-33.3285,23.4529,71.6241,663.7153
239,K3,59,TICK_239,-32.9473,23.6129,74.9534,667.0702
240,K3,60,TICK_240,-32.3819,23.7712,78.2694,670.4378
241,K3,61,TICK_241,-31.8165,23.9295,81.5854,673.8054
242,K3,62,TICK_242,-32.0081,24.6489,83.5042,675.8636
243,K3,63,TICK_243,-32.7267,25.0984,80.2626,679.2142
244,K3,64,TICK_244,-33.5914,25.2779,77.0129,682.5817
245,K3,65,TICK_245,-34.4561,25.4574,73.7632,685.9493
246,K3,66,TICK_246,-34.7765,25.6916,75.5520,687.7815
247,K3,67,TICK_247,-34.9277,25.9427,78.9068,691.1491
248,K3,68,TICK_248,-35.1049,26.2481,77.0902,692.9997
249,K3,69,TICK_249,-34.9912,26.5728,75.1472,694.9729
250,K3,70,TICK_250,-33.7986,26.9087,78.2785,698.3405
251,K3,71,TICK_251,-33.6040,27.2984,81.5602,701.6510
252,K3,72,TICK_252,-33.8255,27.7078,81.5094,702.1192
253,K3,73,TICK_253,-34.9189,28.1956,78.8677,705.0196
254,K3,74,TICK_254,-36.5933,29.0852,78.6446,706.9288
255,K3,75,TICK_255,-36.7477,29.3902,81.9948,710.2963
256,K3,76,TICK_256,-36.9131,29.7291,81.0602,711.3042
257,K3,77,TICK_257,-36.2543,30.2194,78.5309,713.9634
258,K3,78,TICK_258,-35.5302,31.0703,78.9295,715.1496
259,K3,79,TICK_259,-35.6426,31.3314,75.5740,718.5172
260,K3,80,TICK_260,-35.7447,31.5588,74.6001,719.5225
261,K3,81,TICK_261,-35.8282,31.7246,77.9625,722.8900
262,K3,82,TICK_262,-35.9117,31.8905,81.3250,726.2576
263,K3,83,TICK_263,-35.9899,32.0552,82.4034,727.3513
264,K3,84,TICK_264,-36.0576,32.2179,79.0404,730.7188
265,K3,85,TICK_265,-36.1254,32.3805,75.6774,734.0864
266,K3,86,TICK_266,-36.3413,32.5388,74.0864,735.6998
267,K3,87,TICK_267,-36.9667,32.6849,77.3922,739.0674
268,K3,88,TICK_268,-37.5921,32.8310,80.6979,742.4349
269,K3,89,TICK_269,-38.2175,32.9771,84.0037,745.8025
270,K3,90,TICK_270,-38.3615,33.1416,81.6883,748.1282
271,K3,91,TICK_271,-38.4158,33.3095,78.3253,751.4958
272,K3,92,TICK_272,-38.4701,33.4775,74.9624,754.8634
273,K3,93,TICK_273,-36.7199,34.1029,75.8302,756.9146
274,K3,94,TICK_274,-36.8351,34.4388,79.1790,760.2821
275,K3,95,TICK_275,-36.9439,34.6949,77.0433,762.4359
276,K3,96,TICK_276,-37.0512,34.9333,73.6859,765.8035
277,K3,97,TICK_277,-37.2015,35.3797,75.1401,767.3321
278,K3,98,TICK_278,-37.2986,35.6995,78.4889,770.6975
279,K3,99,TICK_279,-37.3750,35.9580,81.8456,774.0651
280,K3,100,TICK_280,-39.2340,36.5709,81.5556,776.0438
281,K3,101,TICK_281,-37.8560,36.9448,78.5057,779.4114
282,K3,102,TICK_282,-37.7024,37.1901,75.1917,782.7379
283,K3,103,TICK_283,-37.7611,37.4132,71.8321,786.1055
284,K3,104,TICK_284,-38.0157,38.3328,71.8367,787.0596
285,K3,105,TICK_285,-38.1633,38.9215,75.1479,790.4260
286,K3,106,TICK_286,-39.5497,39.3330,78.1415,793.7506
287,K3,107,TICK_287,-40.2852,39.7603,81.3065,797.0279
288,K3,108,TICK_288,-40.0258,40.0820,81.4916,797.4807
289,K3,109,TICK_289,-39.3840,40.2549,78.1903,800.8483
290,K3,110,TICK_290,-38.7421,40.4277,74.8890,804.2159
291,K3,111,TICK_291,-38.5838,41.0927,71.8437,807.3369
292,K3,112,TICK_292,-38.6325,41.3204,68.4842,810.7044
293,K3,113,TICK_293,-38.6809,41.5693,66.5437,812.6614
294,K3,114,TICK_294,-38.7280,41.8969,69.8950,816.0290
295,K3,115,TICK_295,-38.8912,42.5143,69.4549,816.8045
296,K3,116,TICK_296,-39.4030,42.6426,72.7809,820.1721
297,K3,117,TICK_297,-39.9149,42.7709,76.1068,823.5397
298,K3,118,TICK_298,-40.4267,42.8992,79.4328,826.9072
299,K3,119,TICK_299,-40.1323,43.1843,82.0470,829.5533
300,K3,120,TICK_300,-39.0370,43.9534,79.9644,832.0288
301,K3,121,TICK_301,-39.3242,44.5680,76.7009,835.3621
302,K3,122,TICK_302,-40.1902,44.7834,73.4538,838.7296
303,K3,123,TICK_303,-41.0563,44.9988,70.2066,842.0972
304,K3,124,TICK_304,-39.1756,45.6112,67.6290,845.3462
305,K3,125,TICK_305,-39.2044,46.0661,67.5927,845.8035
306,K3,126,TICK_306,-39.2082,46.2016,70.9576,849.1711
307,K3,127,TICK_307,-39.2121,46.3371,74.3224,852.5386
308,K3,128,TICK_308,-39.2160,46.4726,77.6873,855.9062
309,K3,129,TICK_309,-39.2388,46.8231,81.0347,859.2720
310,K3,130,TICK_310,-39.2586,47.3449,80.6285,859.9335
311,K3,131,TICK_311,-39.2590,48.1346,78.3204,862.3730
312,K3,132,TICK_312,-39.2668,48.3765,74.9615,865.7406
313,K3,133,TICK_313,-39.5436,48.5693,71.6226,869.0965
314,K3,134,TICK_314,-40.1009,48.7110,68.3045,872.4641
315,K3,135,TICK_315,-40.6582,48.8526,64.9863,875.8317
316,K3,136,TICK_316,-41.2155,48.9943,61.6682,879.1992
317,K3,137,TICK_317,-39.9314,49.3326,64.4718,882.3014
318,K4,0,TICK_318,-39.2759,49.6172,67.6871,885.5952
319,K4,1,TICK_319,-39.2798,49.8438,71.0471,888.9628
320,K4,2,TICK_320,-40.1925,50.2372,72.9020,891.0671
321,K4,3,TICK_321,-41.1956,50.6016,74.5975,893.0706
322,K4,4,TICK_322,-41.1884,50.7566,77.9615,896.4382
323,K4,5,TICK_323,-41.1811,50.9116,81.3255,899.8058
324,K4,6,TICK_324,-40.6184,51.1397,81.9164,900.6530
325,K4,7,TICK_325,-39.3186,51.4649,78.8269,904.0206
326,K4,8,TICK_326,-39.8899,51.6835,75.5805,907.3241
327,K4,9,TICK_327,-40.6873,51.8891,72.3151,910.6917
328,K4,10,TICK_328,-39.7489,52.3445,69.9094,913.3138
329,K4,11,TICK_329,-39.0560,53.3673,69.7598,914.5583
330,K4,12,TICK_330,-39.0212,53.6627,72.2435,917.0597
331,K4,13,TICK_331,-38.9959,53.8505,75.6058,920.4273
332,K4,14,TICK_332,-39.0645,54.5370,78.1692,923.0820
333,K4,15,TICK_333,-39.4903,55.3213,78.3960,924.0028
334,K4,16,TICK_334,-40.6334,56.0548,77.4825,925.6396
335,K4,17,TICK_335,-40.5862,56.3479,74.1281,929.0071
336,K4,18,TICK_336,-40.1437,56.6171,70.8265,932.3490
337,K4,19,TICK_337,-39.2749,56.8604,67.5821,935.7166
338,K4,20,TICK_338,-38.7356,57.0578,67.1530,936.4335
339,K4,21,TICK_339,-38.6403,57.1936,70.5164,939.8011
340,K4,22,TICK_340,-38.5449,57.3294,73.8799,943.1687
341,K4,23,TICK_341,-38.4496,57.4652,77.2434,946.5362
342,K4,24,TICK_342,-38.5888,58.0604,78.9676,948.3656
343,K4,25,TICK_343,-39.5007,58.3151,75.7359,951.7332
344,K4,26,TICK_344,-39.3516,58.6960,72.9971,954.5024
345,K4,27,TICK_345,-38.5552,59.1265,74.2662,956.0613
346,K4,28,TICK_346,-39.3583,59.3465,77.5292,959.4289
347,K4,29,TICK_347,-39.6504,59.5660,78.8271,960.7773
348,K4,30,TICK_348,-38.7619,59.7845,75.5863,964.1448
349,K4,31,TICK_349,-37.8736,60.0343,72.4163,967.4464
350,K4,32,TICK_350,-37.8519,61.0772,75.3995,970.6068
351,K4,33,TICK_351,-39.3727,61.5031,78.2594,973.8738
352,K4,34,TICK_352,-38.5205,61.7052,75.0077,977.2413
353,K4,35,TICK_353,-37.6682,61.9072,71.7561,980.6089
354,K4,36,TICK_354,-37.1667,62.3537,72.0472,981.3407
355,K4,37,TICK_355,-37.6176,62.6384,75.3476,984.6840
356,K4,38,TICK_356,-38.2573,62.8167,78.6491,988.0516
357,K4,39,TICK_357,-38.8970,62.9950,81.9505,991.4191
358,K4,40,TICK_358,-36.7714,63.5135,79.7715,994.5071
359,K4,41,TICK_359,-36.7288,63.6389,76.4065,997.8746
360,K4,42,TICK_360,-36.6861,63.7642,73.0415,1001.2422
361,K4,43,TICK_361,-36.6435,63.8895,69.6766,1004.6098
362,K4,44,TICK_362,-36.5927,64.0510,67.1064,1007.1855
363,K4,45,TICK_363,-36.4817,64.4813,70.4445,1010.5531
364,K4,46,TICK_364,-37.2332,64.7194,73.7131,1013.9154
365,K4,47,TICK_365,-38.0238,64.9487,76.9785,1017.2829
366,K4,48,TICK_366,-37.0793,65.2588,80.0562,1020.5172
367,K4,49,TICK_367,-36.0065,65.5630,81.3134,1022.1977
368,K4,50,TICK_368,-35.9055,65.7907,77.9551,1025.5653
369,K4,51,TICK_369,-35.7574,66.1296,74.6354,1028.9056
370,K4,52,TICK_370,-35.5109,66.7074,71.3900,1032.2111
371,K4,53,TICK_371,-35.3954,66.9770,68.0352,1035.5787
372,K4,54,TICK_372,-35.3607,67.5659,70.7111,1038.3188
373,K4,55,TICK_373,-36.7331,67.9512,73.7620,1041.6863
374,K4,56,TICK_374,-36.8211,68.1858,77.0824,1045.0161
375,K4,57,TICK_375,-36.7230,68.3986,80.4418,1048.3837
376,K4,58,TICK_376,-36.5619,68.7112,80.2969,1048.7640
377,K4,59,TICK_377,-36.1382,69.0592,76.9918,1052.1143
378,K4,60,TICK_378,-35.1977,69.2675,73.7650,1055.4819
379,K4,61,TICK_379,-34.2571,69.4758,70.5381,1058.8494
380,K4,62,TICK_380,-33.9609,69.9015,73.1078,1061.4709
381,K4,63,TICK_381,-33.6882,70.3573,71.2279,1063.4245
382,K4,64,TICK_382,-33.4350,70.7680,72.4829,1064.7690
383,K4,65,TICK_383,-34.4646,71.3293,73.8500,1066.5701
384,K4,66,TICK_384,-34.9071,71.7763,76.1709,1068.9747
385,K4,67,TICK_385,-33.9741,72.1672,77.4121,1070.5759
386,K4,68,TICK_386,-32.3319,72.5779,74.6792,1073.7906
387,K4,69,TICK_387,-32.1573,72.8538,71.3275,1077.1582
388,K4,70,TICK_388,-31.6688,73.5776,70.9587,1078.1061
389,K4,71,TICK_389,-32.5793,74.3392,73.3216,1080.7503
390,K4,72,TICK_390,-31.5084,75.2589,75.2776,1083.1625
391,K4,73,TICK_391,-30.0709,75.7788,73.9410,1085.1932
392,K4,74,TICK_392,-29.6494,76.2704,74.1396,1085.8705
393,K4,75,TICK_393,-29.2002,77.0342,74.9869,1087.0965
394,K4,76,TICK_394,-29.9817,77.2500,78.2554,1090.4641
395,K4,77,TICK_395,-30.7633,77.4657,81.5239,1093.8317
396,K4,78,TICK_396,-30.7308,77.6863,79.2207,1096.1457
397,K4,79,TICK_397,-30.5446,77.9078,75.8656,1099.5132
398,K4,80,TICK_398,-28.5370,78.3592,74.3868,1102.0472
399,K4,81,TICK_399,-27.0683,79.2070,76.3169,1104.6165
400,K4,82,TICK_400,-26.7323,79.5587,78.2170,1106.5778
401,K4,83,TICK_401,-26.4670,79.8329,74.8711,1109.9454
402,K4,84,TICK_402,-27.1349,80.2221,71.8358,1113.0776
403,K4,85,TICK_403,-28.1073,80.5704,72.3080,1114.2133
