side,row,col,char
LEFT,14,19,E
LEFT,14,20,O
LEFT,14,21,I
LEFT,14,22,B
LEFT,14,23,I
LEFT,14,24,D
LEFT,14,25,Y
LEFT,14,26,S
LEFT,14,27,H
LEFT,14,28,N
LEFT,14,29,A
LEFT,14,30,I
LEFT,14,31,A
LEFT,15,0,C
LEFT,15,1,H
LEFT,15,2,T
LEFT,15,3,N
LEFT,15,4,R
LEFT,15,5,E
LEFT,15,6,Y
LEFT,15,7,U
LEFT,15,8,L
LEFT,15,9,D
LEFT,15,10,S
LEFT,15,11,L
LEFT,15,12,L
LEFT,15,13,S
LEFT,15,14,L
LEFT,15,15,L
LEFT,15,16,N
LEFT,15,17,O
LEFT,15,18,H
LEFT,15,19,S
LEFT,15,20,N
LEFT,15,21,O
LEFT,15,22,S
LEFT,15,23,M
LEFT,15,24,R
LEFT,15,25,W
LEFT,15,26,X
LEFT,15,27,M
LEFT,15,28,N
LEFT,15,29,E
LEFT,16,0,T
LEFT,16,1,P
LEFT,16,2,R
LEFT,16,3,N
LEFT,16,4,G
LEFT,16,5,A
LEFT,16,6,T
LEFT,16,7,I
LEFT,16,8,H
LEFT,16,9,N
LEFT,16,10,R
LEFT,16,11,A
LEFT,16,12,R
LEFT,16,13,P
LEFT,16,14,E
LEFT,16,15,S
LEFT,16,16,L
LEFT,16,17,N
LEFT,16,18,N
LEFT,16,19,E
LEFT,16,20,L
LEFT,16,21,E
LEFT,16,22,B
LEFT,16,23,L
LEFT,16,24,P
LEFT,16,25,I
LEFT,16,26,I
LEFT,16,27,A
LEFT,16,28,C
LEFT,16,29,A
LEFT,16,30,E
LEFT,17,0,W
LEFT,17,1,M
LEFT,17,2,T
LEFT,17,3,W
LEFT,17,4,N
LEFT,17,5,D
LEFT,17,6,I
LEFT,17,7,T
LEFT,17,8,E
LEFT,17,9,E
LEFT,17,10,N
LEFT,17,11,R
LEFT,17,12,A
LEFT,17,13,H
LEFT,17,14,C
LEFT,17,15,T
LEFT,17,16,E
LEFT,17,17,N
LEFT,17,18,E
LEFT,17,19,U
LEFT,17,20,D
LEFT,17,21,R
LEFT,17,22,E
LEFT,17,23,T
LEFT,17,24,N
LEFT,17,25,H
LEFT,17,26,A
LEFT,17,27,E
LEFT,17,28,O
LEFT,17,29,E
LEFT,18,0,T
LEFT,18,1,F
LEFT,18,2,O
LEFT,18,3,L
LEFT,18,4,S
LEFT,18,5,E
LEFT,18,6,D
LEFT,18,7,T
LEFT,18,8,I
LEFT,18,9,W
LEFT,18,10,E
LEFT,18,11,N
LEFT,18,12,H
LEFT,18,13,A
LEFT,18,14,E
LEFT,18,15,I
LEFT,18,16,O
LEFT,18,17,Y
LEFT,18,18,T
LEFT,18,19,E
LEFT,18,20,Y
LEFT,18,21,Q
LEFT,18,22,H
LEFT,18,23,E
LEFT,18,24,E
LEFT,18,25,N
LEFT,18,26,C
LEFT,18,27,T
LEFT,18,28,A
LEFT,18,29,Y
LEFT,18,30,C
LEFT,18,31,R
LEFT,19,0,E
LEFT,19,1,I
LEFT,19,2,F
LEFT,19,3,T
LEFT,19,4,B
LEFT,19,5,R
LEFT,19,6,S
LEFT,19,7,P
LEFT,19,8,A
LEFT,19,9,M
LEFT,19,10,H
LEFT,19,11,H
LEFT,19,12,E
LEFT,19,13,W
LEFT,19,14,E
LEFT,19,15,N
LEFT,19,16,A
LEFT,19,17,T
LEFT,19,18,A
LEFT,19,19,M
LEFT,19,20,A
LEFT,19,21,T
LEFT,19,22,E
LEFT,19,23,G
LEFT,19,24,Y
LEFT,19,25,E
LEFT,19,26,E
LEFT,19,27,R
LEFT,19,28,L
LEFT,19,29,B
LEFT,20,0,T
LEFT,20,1,E
LEFT,20,2,E
LEFT,20,3,F
LEFT,20,4,O
LEFT,20,5,A
LEFT,20,6,S
LEFT,20,7,F
LEFT,20,8,I
LEFT,20,9,O
LEFT,20,10,T
LEFT,20,11,U
LEFT,20,12,E
LEFT,20,13,T
LEFT,20,14,U
LEFT,20,15,A
LEFT,20,16,E
LEFT,20,17,O
LEFT,20,18,T
LEFT,20,19,O
LEFT,20,20,A
LEFT,20,21,R
LEFT,20,22,M
LEFT,20,23,A
LEFT,20,24,E
LEFT,20,25,E
LEFT,20,26,R
LEFT,20,27,T
LEFT,20,28,N
LEFT,20,29,R
LEFT,20,30,T
LEFT,20,31,I
LEFT,21,0,B
LEFT,21,1,S
LEFT,21,2,E
LEFT,21,3,D
LEFT,21,4,D
LEFT,21,5,N
LEFT,21,6,I
LEFT,21,7,A
LEFT,21,8,A
LEFT,21,9,H
LEFT,21,10,T
LEFT,21,11,T
LEFT,21,12,M
LEFT,21,13,S
LEFT,21,14,T
LEFT,21,15,E
LEFT,21,16,W
LEFT,21,17,P
