label,seed_u64,weights_sha256,route_id,t2_sha256,classing,encrypts_to_ct,plaintext_97,pt_sha256,coverage,f_words,has_verb,delta_windowed,delta_shuffled,leakage_diff,notes
HEAD_86_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_87_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_88_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_89_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_90_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_91_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_92_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_93_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_94_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_95_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_96_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_97_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_98_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_99_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_100_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
HEAD_101_B,,d2b426b77c965c3ecd804c8d25c48ab45f0635db18275f68827cd48fa0d98be0,,,,false,,,,,,,,0.000,not_attempted
