global_tick,x,y,z
373,-35.544200000000004,67.1833,74.0117
374,-36.9166,67.5686,77.0626
375,-37.004599999999996,67.8032,80.38300000000001
376,-36.906499999999994,68.016,83.7424
377,-36.745400000000004,68.32860000000001,83.5975
378,-36.32169999999999,68.67660000000001,80.2924
379,-35.38119999999999,68.8849,77.0656
380,-34.4406,69.09320000000001,73.8387
381,-34.144400000000005,69.5189,76.4084
382,-33.871700000000004,69.9747,74.52850000000001
383,-33.6185,70.3854,75.7835
384,-34.6481,70.9467,77.1506
385,-35.090599999999995,71.39370000000001,79.4715
386,-34.1576,71.7846,80.7127
387,-32.5154,72.1953,77.9798
388,-32.3408,72.47120000000001,74.6281
389,-31.8523,73.19500000000001,74.2593
390,-32.7628,73.95660000000001,76.6222
391,-31.6919,74.8763,78.57820000000001
392,-30.2544,75.39620000000001,77.2416
393,-29.8329,75.8878,77.4402
394,-29.383699999999997,76.6516,78.28750000000001
395,-30.1652,76.8674,81.556
396,-30.9468,77.0831,84.8245
397,-30.914299999999997,77.3037,82.5213
398,-30.728099999999998,77.5252,79.1662
399,-28.720499999999998,77.9766,77.6874
400,-27.2518,78.8244,79.6175
401,-26.915799999999997,79.1761,81.5176
402,-26.650499999999997,79.4503,78.1717
403,-27.318399999999997,79.8395,75.13640000000001
404,-28.290799999999997,80.18780000000001,75.60860000000001
405,-28.1623,80.32560000000001,78.9709
406,-28.0338,80.46340000000001,82.3332
407,-27.9053,80.6011,85.69550000000001
408,-26.6813,80.818,83.3872
409,-25.310699999999997,81.0454,80.31960000000001
410,-24.1954,81.6991,78.2985
411,-23.99,82.1922,80.525
412,-25.639799999999997,82.6302,77.766
413,-22.4636,83.13210000000001,77.8365
414,-22.049599999999998,83.418,81.1663
415,-21.6357,83.7119,82.4839
416,-21.2224,84.0246,79.15650000000001
417,-20.8513,84.3032,75.8212
418,-20.498199999999997,84.5674,72.48270000000001
419,-20.9123,84.73270000000001,74.5351
420,-21.505699999999997,84.875,77.84700000000001
421,-22.0991,85.0173,81.1588
422,-21.665699999999998,85.2326,83.9971
423,-18.819899999999997,85.6192,85.6571
424,-18.5442,85.78670000000001,82.305
425,-18.2684,85.9542,78.9529
426,-17.9698,86.13380000000001,75.7699
427,-16.991,86.6703,78.9255
428,-16.5974,86.9034,82.2619
429,-16.167499999999997,87.1513,85.05890000000001
430,-15.331,87.5646,81.8231
431,-14.441199999999998,88.0025,78.605
432,-13.787199999999999,88.2872,80.2187
433,-13.218799999999998,88.5167,83.53
434,-12.617199999999999,88.7512,83.1324
435,-11.989799999999999,88.9898,79.8324
436,-10.359499999999999,89.56110000000001,78.8302
