idx,s,x,y,z
52,136.8373,-30.5500,-35.1537,77.8872
53,139.3859,-30.7380,-34.7123,80.3902
54,140.1373,-31.3424,-34.3003,80.5624
55,143.5041,-31.0505,-33.9034,77.2318
56,146.8717,-30.7981,-33.6018,73.8873
57,148.0244,-30.5669,-33.3082,74.9778
58,151.3920,-30.3465,-33.0187,78.3256
59,153.7539,-28.1914,-32.3941,77.5878
60,156.6877,-29.2716,-31.5362,74.9987
61,160.0521,-28.3977,-31.2239,71.7648
62,163.4132,-27.4296,-30.8856,68.5639
63,165.0313,-26.6499,-30.4535,67.2135
64,168.3989,-27.2535,-30.2807,70.5220
65,171.7665,-27.8572,-30.1080,73.8306
66,172.8053,-27.9880,-29.5985,74.7264
67,175.6570,-26.5008,-29.1975,77.1263
68,178.0412,-26.7776,-28.6556,79.4316
69,180.5843,-27.0990,-28.0936,76.9723
70,182.7140,-26.9206,-27.7773,79.0708
71,186.0816,-26.7646,-27.5031,82.4236
72,189.3748,-25.7987,-27.2909,79.2824
73,192.7423,-24.8235,-27.0794,76.0661
74,193.6363,-25.2399,-26.7777,76.7973
75,196.9520,-26.1854,-26.4293,79.9562
76,200.3195,-26.0388,-26.1078,83.3052
77,203.6662,-25.6837,-25.3784,86.5521
78,205.6021,-24.5670,-24.7857,85.0861
79,208.9355,-23.3386,-24.4880,82.0016
80,211.8909,-24.9769,-23.9761,79.5957
81,215.2585,-23.2857,-23.5927,82.4824
82,217.1013,-23.2140,-23.4041,80.6507
83,220.4689,-23.6585,-23.2776,77.3150
84,223.8365,-24.1030,-23.1512,73.9793
85,227.2041,-24.5475,-23.0247,70.6435
86,229.2676,-24.5121,-22.7012,72.6813
87,232.6344,-24.3450,-22.2642,76.0154
88,236.0000,-24.1905,-21.8563,79.3526
89,239.3676,-24.0684,-21.5610,82.7050
90,241.4202,-23.1602,-21.2918,80.8840
91,244.7877,-22.0474,-21.0294,77.7165
92,248.1403,-21.8083,-20.6587,74.3931
93,249.9470,-23.4395,-20.0301,73.9367
94,251.7382,-21.8124,-19.3989,73.5334
95,255.1058,-22.9905,-19.0686,70.3960
96,257.0937,-22.6119,-18.8510,72.3354
97,260.4613,-21.8255,-18.6629,75.6044
98,262.9390,-21.2977,-18.4571,78.0165
99,266.3066,-22.4480,-18.1360,74.8677
100,268.3317,-21.0541,-17.5194,73.5342
101,271.6035,-21.8484,-17.2477,76.6965
102,274.7534,-22.5787,-16.9698,79.7480
103,276.2418,-21.2510,-16.3337,79.9669
104,277.8109,-21.9782,-15.8822,81.2820
105,281.0963,-20.4896,-15.4829,78.3805
106,284.4639,-21.0625,-15.3263,75.0657
107,287.8314,-21.6354,-15.1696,71.7510
108,291.1990,-22.2083,-15.0130,68.4362
109,294.0123,-21.3675,-14.7809,71.1109
110,297.3799,-20.3990,-14.5420,74.3273
111,299.5820,-22.0670,-13.9725,73.0072
112,302.9496,-22.0108,-13.6379,69.6567
113,303.6050,-21.9692,-13.3656,70.2515
114,306.9726,-21.9380,-13.1371,73.6112
115,307.9393,-21.4167,-12.8752,74.3821
116,311.3069,-20.1608,-12.5634,71.2730
117,312.9258,-21.6682,-11.9730,71.2764
118,316.2933,-21.1792,-11.8506,74.6061
119,319.6609,-20.6902,-11.7282,77.9357
120,323.0285,-20.2012,-11.6058,81.2653
121,325.4966,-19.7736,-11.4574,83.6916
122,328.8642,-19.7389,-11.1424,80.3390
123,330.7455,-21.3556,-10.5695,79.5661
124,333.8728,-20.6920,-10.0487,82.5775
125,336.5924,-21.1319,-9.7099,79.9152
126,338.4114,-21.5014,-8.9665,78.2967
127,341.7790,-21.3153,-8.5099,74.9654
128,345.0018,-21.3501,-8.3634,78.1847
129,348.3694,-21.3899,-8.2237,81.5491
130,351.7369,-21.4296,-8.0840,84.9136
131,352.6769,-20.9543,-7.8727,85.6965
132,356.0445,-19.7021,-7.5535,82.5867
133,359.2218,-20.9251,-7.1307,79.6848
134,360.8689,-21.4386,-6.7597,81.2053
135,362.6451,-21.4442,-6.4799,82.9593
136,366.0127,-21.4399,-6.3954,79.5928
137,369.3802,-21.4355,-6.3109,76.2263
138,372.7478,-21.4311,-6.2263,72.8598
139,376.1154,-21.4268,-6.1418,69.4932
140,379.4829,-21.4224,-6.0573,66.1267
141,380.6834,-21.4218,-5.9490,64.9311
142,384.0510,-21.4292,-5.7911,68.2950
143,387.4186,-21.4366,-5.6331,71.6588
144,390.7706,-21.4419,-5.3378,74.9978
145,394.1198,-21.4612,-4.8007,78.3035
146,397.4873,-21.4928,-4.5042,81.6579
147,400.7605,-21.4965,-4.3216,78.3897
148,404.1281,-21.4999,-4.1407,75.0270
149,406.8601,-20.7769,-3.8104,72.4132
150,408.4145,-21.2427,-3.0826,73.7052
151,411.3618,-21.6395,-2.3021,76.5195
152,414.7294,-21.6574,-2.0267,79.8758
153,417.4474,-21.6760,-1.8412,77.1641
154,420.8150,-21.6947,-1.6653,73.8012
155,423.7842,-21.6622,-1.4867,70.8376
156,427.1518,-20.8327,-1.2661,74.0939
157,430.5193,-20.0031,-1.0455,77.3502
158,432.5616,-21.2574,-0.6432,75.7895
159,434.1177,-21.8634,-0.2848,77.1773
160,437.4410,-21.7407,0.0470,80.4817
161,440.7088,-20.2319,0.5252,83.3406
162,444.0763,-22.0558,0.9744,86.1356
163,447.0987,-22.2064,1.2399,83.1286
164,450.4663,-22.2559,1.4944,79.7711
165,453.8293,-21.1528,1.8002,76.6089
166,456.0084,-21.5599,2.2799,74.5226
167,457.7213,-22.0066,3.1581,75.9238
168,461.0889,-20.9375,3.4476,79.1040
169,463.2466,-21.5963,3.7043,77.0655
170,466.6142,-22.6374,3.9539,73.8726
171,468.7125,-21.0749,4.5139,75.1563
172,472.0801,-21.8006,4.6876,78.4402
173,475.4476,-22.5263,4.8613,81.7240
174,478.5000,-23.1500,5.5228,84.6379
175,480.5544,-21.6008,6.0423,85.8831
176,483.9220,-22.4378,6.2394,82.6272
177,487.2896,-23.2748,6.4365,79.3712
178,488.5051,-22.9079,6.6786,80.5045
179,491.8726,-21.9679,6.9422,83.7274
180,493.8094,-21.8086,7.1490,81.8083
181,497.1769,-21.8684,7.3399,78.4467
182,499.4923,-22.0631,7.5338,76.1477
183,502.8599,-22.9610,7.7435,79.3866
184,506.2274,-23.8589,7.9533,82.6254
185,508.1638,-22.6642,8.3914,81.1659
186,510.2055,-24.4043,8.9942,82.0476
187,513.5166,-23.0630,9.3882,79.0461
188,516.8165,-22.7052,9.5888,75.7718
189,520.1840,-22.7550,9.7129,72.4069
190,523.5516,-22.8047,9.8371,69.0420
191,526.9192,-22.8545,9.9613,65.6771
192,528.2527,-23.4002,10.1225,66.8830
193,531.6202,-24.1704,10.3003,70.1565
194,534.9878,-24.9405,10.4781,73.4300
195,538.3477,-25.1072,10.6446,76.7816
196,541.7152,-25.1893,10.8094,80.1441
197,545.0828,-25.2713,10.9742,83.5067
198,547.4010,-25.3451,11.1472,81.1961
199,550.7686,-25.4174,11.3217,77.8338
200,554.1362,-25.4897,11.4962,74.4715
201,555.3066,-25.8671,12.2986,73.7076
202,557.1126,-24.2881,13.0165,73.2047
203,558.7162,-25.5375,13.7727,73.8671
204,560.9286,-24.7902,14.0962,71.8100
205,564.2962,-24.8597,14.2285,68.4457
206,567.6637,-24.9292,14.3607,65.0814
207,571.0313,-24.9987,14.4930,61.7172
208,574.0482,-25.8157,14.6768,64.6155
209,577.4157,-26.6747,14.8636,67.8663
210,580.7701,-27.3578,15.0837,71.1430
211,584.1377,-27.5636,15.3945,74.4898
212,587.5049,-27.7881,15.7722,77.8282
213,590.7750,-27.3093,16.1729,81.0382
214,593.2051,-26.2824,16.7106,83.1740
215,596.5028,-28.1416,17.3428,80.5248
216,599.7010,-28.9881,17.6025,77.4516
217,603.0686,-29.1007,17.7632,74.0898
218,606.4361,-29.2133,17.9239,70.7279
219,606.7101,-29.3273,18.0985,70.9057
220,610.0777,-29.4425,18.2855,74.2661
221,613.4452,-29.5577,18.4725,77.6264
222,615.9503,-27.8082,18.9969,75.9119
223,619.3135,-27.9564,19.3168,72.5673
224,619.9124,-28.1216,19.6006,72.0664
225,623.2800,-28.2938,19.8376,75.4212
226,625.7521,-29.4443,20.1885,77.5809
227,628.3622,-31.2278,20.7058,75.7466
228,631.6900,-31.0443,21.0884,72.4460
229,635.0575,-30.1067,21.3708,69.2240
230,638.2364,-30.1994,22.0267,66.1149
231,641.6040,-31.0043,22.1735,62.8482
232,644.9715,-31.8092,22.3203,59.5816
233,648.3391,-32.6142,22.4670,56.3149
234,650.2454,-32.9181,22.6922,58.1833
235,653.6129,-33.0770,22.9399,61.5380
236,656.9801,-33.1740,23.1244,64.8987
237,660.3477,-33.2513,23.2887,68.2614
238,663.7153,-33.3285,23.4529,71.6241
239,667.0702,-32.9473,23.6129,74.9534
240,670.4378,-32.3819,23.7712,78.2694
