index,nearest_tick_idx,s,x,y,z,u,v,row
80,248,692.9997,-35.1049,26.2481,77.0902,0.544434,0.330566,2
81,249,694.9729,-34.9912,26.5728,75.1472,0.546457,0.822743,4
82,256,711.3042,-36.9131,29.7291,81.0602,0.562500,0.385742,2
83,260,719.5225,-35.7447,31.5588,74.6001,0.570557,0.253418,2
84,266,735.6998,-36.3413,32.5388,74.0864,0.585375,0.671580,3
85,269,745.8025,-38.2175,32.9771,84.0037,0.591309,0.110352,1
86,270,748.1282,-38.3615,33.1416,81.6883,0.593661,0.671488,3
87,271,751.4958,-38.4158,33.3095,78.3253,0.596076,0.641906,3
88,284,787.0596,-38.0157,38.3328,71.8367,0.624023,0.868164,4
89,289,800.8483,-39.3840,40.2549,78.1903,0.634229,0.093750,1
90,301,835.3621,-39.3242,44.5680,76.7009,0.661621,0.093750,1
91,314,872.4641,-40.1009,48.7110,68.3045,0.689941,0.236816,1
92,319,888.9628,-39.2798,49.8438,71.0471,0.700195,0.154297,1
93,344,954.5024,-39.3516,58.6960,72.9971,0.755127,0.890137,4
94,351,973.8738,-39.3727,61.5031,78.2594,0.771484,0.989258,4
95,356,988.0516,-38.2573,62.8167,78.6491,0.780792,0.110352,1
96,410,1134.9942,-23.8065,82.5748,77.2244,0.899414,0.027832,1
