seed_label,route,length,fixed_score,windowed_score,shuffled_score,delta_windowed,delta_shuffled,pass_deltas
B0008,GRID_10x10_NA3,75,3.5106908643321377,3.5106908643321377,3.5106908643321377,0.0,0.0,False
B0008,SPOKE_10x10_NA1,75,3.1395466376772108,3.1395466376772108,3.1395466376772108,0.0,0.0,False
B0008,SPOKE_10x10_NA2,75,3.8931096143337127,3.8931096143337127,3.8931096143337127,0.0,0.0,False
B0008,SPOKE_10x10_NA3,75,3.5106908643321377,3.5106908643321377,3.5106908643321377,0.0,0.0,False
B0053,GRID_6x17,74,1.2801099245305827,1.2801099245305827,1.2801099245305827,0.0,0.0,False
B0053,GRID_9x11,74,0.0656308207715143,0.0656308207715143,0.0656308207715143,0.0,0.0,False
B0053,GRID_10x10,74,0.17130785007709967,0.17130785007709967,0.17130785007709967,0.0,0.0,False
B0053,GRID_11x9,74,0.3660933506542391,0.3660933506542391,0.3660933506542391,0.0,0.0,False
B0053,GRID_14x7,74,-0.04214778517125356,-0.04214778517125356,-0.04214778517125356,0.0,0.0,False
B0053,GRID_17x6,74,1.0086496928593154,1.0086496928593154,1.0086496928593154,0.0,0.0,False
B0053,GRID_21x5,74,0.2769848793826848,0.2769848793826848,0.2769848793826848,0.0,0.0,False
B0053,GRID_25x4,74,-0.09813866477981995,-0.09813866477981995,-0.09813866477981995,0.0,0.0,False
B0053,GRID_33x3,74,-0.2266011222081494,-0.2266011222081494,-0.2266011222081494,0.0,0.0,False
B0053,SPOKE_6x17,74,1.008561833036481,1.008561833036481,1.008561833036481,0.0,0.0,False
B0053,SPOKE_9x11,74,0.009639941162947911,0.009639941162947911,0.009639941162947911,0.0,0.0,False
B0053,SPOKE_10x10,74,1.0811212706790785,1.0811212706790785,1.0811212706790785,0.0,0.0,False
B0053,SPOKE_11x9,74,0.6542100001823722,0.6542100001823722,0.6542100001823722,0.0,0.0,False
B0053,SPOKE_14x7,74,0.8406770540336161,0.8406770540336161,0.8406770540336161,0.0,0.0,False
B0053,SPOKE_17x6,74,0.9795595348250237,0.9795595348250237,0.9795595348250237,0.0,0.0,False
B0053,SPOKE_21x5,74,1.4686785550190093,1.4686785550190093,1.4686785550190093,0.0,0.0,False
B0053,SPOKE_25x4,74,1.6531318920559053,1.6531318920559053,1.6531318920559053,0.0,0.0,False
B0053,SPOKE_33x3,74,2.2977019510753296,2.2977019510753296,2.2977019510753296,0.0,0.0,False
B0053,RAILFENCE_2,74,-0.013145486959796199,-0.013145486959796199,-0.013145486959796199,0.0,0.0,False
B0053,RAILFENCE_3,74,-0.06703478993118013,-0.06703478993118013,-0.06703478993118013,0.0,0.0,False
B0053,RAILFENCE_4,74,-0.09036005883705209,-0.09036005883705209,-0.09036005883705209,0.0,0.0,False
B0053,RAILFENCE_5,74,-0.19192179469110685,-0.19192179469110685,-0.19192179469110685,0.0,0.0,False
B0053,RAILFENCE_7,74,-0.2059172707225878,-0.2059172707225878,-0.2059172707225878,0.0,0.0,False
B0053,RAILFENCE_9,74,0.06142766749714926,0.06142766749714926,0.06142766749714926,0.0,0.0,False
B0053,RAILFENCE_11,74,0.5484451110539525,0.5484451110539525,0.5484451110539525,0.0,0.0,False
B0053,RAILFENCE_13,74,-0.4172713293337583,-0.4172713293337583,-0.4172713293337583,0.0,0.0,False
B0053,RAILFENCE_17,74,0.04074381601158758,0.04074381601158758,0.04074381601158758,0.0,0.0,False
