neighbor_type,neighbor_id,original_score,neighbor_score,delta_score,delta_coverage,within_tie
double,double_24,0.16,0.145,-0.015000000000000013,-0.05555555555555558,True
double,double_25,0.16,0.16111111111111112,0.0011111111111111183,0.0,True
double,double_26,0.16,0.16111111111111112,0.0011111111111111183,0.0,True
double,double_27,0.16,0.16,0.0,0.0,True
double,double_28,0.16,0.15888888888888889,-0.0011111111111111183,0.0,True
double,double_29,0.16,0.15888888888888889,-0.0011111111111111183,0.0,True
double,double_30,0.16,0.16,0.0,0.0,True
double,double_31,0.16,0.16,0.0,0.0,True
double,double_32,0.16,0.14055555555555557,-0.01944444444444443,-0.05555555555555558,True
double,double_33,0.16,0.12277777777777778,-0.037222222222222226,-0.11111111111111116,False
double,double_34,0.16,0.12166666666666666,-0.038333333333333344,-0.11111111111111116,False
double,double_35,0.16,0.12555555555555556,-0.034444444444444444,-0.11111111111111116,False
double,double_36,0.16,0.16,0.0,0.0,True
double,double_37,0.16,0.12277777777777778,-0.037222222222222226,-0.11111111111111116,False
double,double_38,0.16,0.12388888888888888,-0.03611111111111112,-0.11111111111111116,False
double,double_39,0.16,0.14222222222222222,-0.01777777777777778,-0.05555555555555558,True
double,double_40,0.16,0.14222222222222222,-0.01777777777777778,-0.05555555555555558,True
double,double_41,0.16,0.145,-0.015000000000000013,-0.05555555555555558,True
double,double_42,0.16,0.16111111111111112,0.0011111111111111183,0.0,True
double,double_43,0.16,0.16111111111111112,0.0011111111111111183,0.0,True
double,double_44,0.16,0.16,0.0,0.0,True
double,double_45,0.16,0.15888888888888889,-0.0011111111111111183,0.0,True
double,double_46,0.16,0.15888888888888889,-0.0011111111111111183,0.0,True
double,double_47,0.16,0.16,0.0,0.0,True
double,double_48,0.16,0.16,0.0,0.0,True
double,double_49,0.16,0.14055555555555557,-0.01944444444444443,-0.05555555555555558,True
double,double_50,0.16,0.12277777777777778,-0.037222222222222226,-0.11111111111111116,False
double,double_51,0.16,0.12166666666666666,-0.038333333333333344,-0.11111111111111116,False
double,double_52,0.16,0.12555555555555556,-0.034444444444444444,-0.11111111111111116,False
double,double_53,0.16,0.16,0.0,0.0,True
double,double_54,0.16,0.12388888888888888,-0.03611111111111112,-0.11111111111111116,False
double,double_55,0.16,0.1061111111111111,-0.0538888888888889,-0.16666666666666674,False
double,double_56,0.16,0.1061111111111111,-0.0538888888888889,-0.16666666666666674,False
double,double_57,0.16,0.10888888888888887,-0.051111111111111135,-0.16666666666666674,False
double,double_58,0.16,0.125,-0.035,-0.11111111111111116,False
double,double_59,0.16,0.125,-0.035,-0.11111111111111116,False
double,double_60,0.16,0.12388888888888888,-0.03611111111111112,-0.11111111111111116,False
double,double_61,0.16,0.12277777777777778,-0.037222222222222226,-0.11111111111111116,False
double,double_62,0.16,0.12277777777777778,-0.037222222222222226,-0.11111111111111116,False
double,double_63,0.16,0.12388888888888888,-0.03611111111111112,-0.11111111111111116,False
double,double_64,0.16,0.12388888888888888,-0.03611111111111112,-0.11111111111111116,False
double,double_65,0.16,0.09694444444444443,-0.06305555555555557,-0.1916666666666667,False
