idx,s,x,y,z
58,1.1600000000000006,-1.623933547593741,-1.4984390636469185,2.270381373770707
59,1.1800000000000006,-1.6437268529099152,-1.4974679256814876,2.2730797205402844
60,1.2000000000000006,-1.6635201582260892,-1.4964967877160564,2.2757780673098624
61,1.2200000000000006,-1.6833134635422635,-1.4955256497506255,2.2784764140794405
62,1.2400000000000007,-1.7031067688584376,-1.4945545117851946,2.281174760849018
63,1.2600000000000007,-1.7229000741746119,-1.4935833738197637,2.283873107618596
64,1.2800000000000007,-1.7426933794907862,-1.4926122358543328,2.2865714543881746
65,1.3000000000000007,-1.7624866848069605,-1.4916410978889016,2.2892698011577517
66,1.3200000000000007,-1.7822799901231345,-1.4906699599234707,2.2919681479273297
67,1.3400000000000007,-1.8020732954393086,-1.4896988219580396,2.2946664946969078
68,1.3600000000000008,-1.821866600755483,-1.4887276839926087,2.297364841466486
69,1.3800000000000008,-1.8416599060716572,-1.4877565460271778,2.300063188236064
70,1.4000000000000008,-1.8614532113878313,-1.4867854080617469,2.3027615350056414
71,1.4200000000000008,-1.8812465167040056,-1.4858142700963157,2.3054598817752194
72,1.4400000000000008,-1.9010398220201798,-1.4848431321308848,2.3081582285447975
73,1.4600000000000009,-1.889142189343563,-1.4828426290423415,2.296884650838306
74,1.4800000000000009,-1.8738830248081835,-1.4807329387894286,2.2841290384484223
75,1.5000000000000009,-1.8586238602728042,-1.478623248536516,2.2713734260585388
76,1.520000000000001,-1.8433646957374248,-1.4765135582836033,2.258617813668655
77,1.540000000000001,-1.8281055312020453,-1.4744038680306903,2.2458622012787717
78,1.560000000000001,-1.8128463666666659,-1.4722941777777778,2.2331065888888886
79,1.580000000000001,-1.7975872021312864,-1.470184487524865,2.220350976499005
80,1.600000000000001,-1.7819501751212024,-1.468140929209236,2.229233622120574
81,1.620000000000001,-1.7662547301624247,-1.4661075949628857,2.2414615659152544
82,1.640000000000001,-1.7505592852036478,-1.4640742607165356,2.253689509709935
83,1.660000000000001,-1.7348638402448704,-1.4620409264701855,2.265917453504616
84,1.680000000000001,-1.719168395286093,-1.4600075922238351,2.278145397299297
85,1.700000000000001,-1.7034729503273158,-1.4579742579774848,2.2903733410939777
86,1.720000000000001,-1.6877775053685384,-1.4559409237311347,2.3026012848886586
87,1.740000000000001,-1.6698095418692174,-1.4532161284223462,2.30828926922275
88,1.7600000000000011,-1.6500869508169727,-1.4499574511626374,2.308927704846975
