index,tick_index,tick_name,world_x,world_y,world_z,row,arc_length
37,101,TICK_101,-21.8484,-17.2477,76.6965,2,271.6035
38,103,TICK_103,-21.2510,-16.3337,79.9669,3,276.2418
39,110,TICK_110,-20.3990,-14.5420,74.3273,3,297.3799
40,113,TICK_113,-21.9692,-13.3656,70.2515,4,303.6050
41,115,TICK_115,-21.4167,-12.8752,74.3821,3,307.9393
42,121,TICK_121,-19.7736,-11.4574,83.6916,1,325.4966
43,125,TICK_125,-21.1319,-9.7099,79.9152,3,336.5924
44,127,TICK_127,-21.3153,-8.5099,74.9654,2,341.7790
45,128,TICK_128,-21.3501,-8.3634,78.1847,1,345.0018
46,129,TICK_129,-21.3899,-8.2237,81.5491,3,348.3694
47,132,TICK_132,-19.7021,-7.5535,82.5867,2,356.0445
48,133,TICK_133,-20.9251,-7.1307,79.6848,1,359.2218
49,140,TICK_140,-21.4224,-6.0573,66.1267,2,379.4829
50,143,TICK_143,-21.4366,-5.6331,71.6588,1,387.4186
51,145,TICK_145,-21.4612,-4.8007,78.3035,3,394.1198
52,148,TICK_148,-21.4999,-4.1407,75.0270,3,404.1281
53,149,TICK_149,-20.7769,-3.8104,72.4132,4,406.8601
54,150,TICK_150,-21.2427,-3.0826,73.7052,1,408.4145
55,153,TICK_153,-21.6760,-1.8412,77.1641,1,417.4474
56,155,TICK_155,-21.6622,-1.4867,70.8376,3,423.7842
57,161,TICK_161,-20.2319,0.5252,83.3406,4,440.7088
58,163,TICK_163,-22.2064,1.2399,83.1286,4,447.0987
59,166,TICK_166,-21.5599,2.2799,74.5226,4,456.0084
60,167,TICK_167,-22.0066,3.1581,75.9238,3,457.7213
61,169,TICK_169,-21.5963,3.7043,77.0655,3,463.2466
62,172,TICK_172,-21.8006,4.6876,78.4402,3,472.0801
63,178,TICK_178,-22.9079,6.6786,80.5045,1,488.5051
64,179,TICK_179,-21.9679,6.9422,83.7274,2,491.8726
65,182,TICK_182,-22.0631,7.5338,76.1477,3,499.4923
66,183,TICK_183,-22.9610,7.7435,79.3866,1,502.8599
67,187,TICK_187,-23.0630,9.3882,79.0461,2,513.5166
68,191,TICK_191,-22.8545,9.9613,65.6771,3,526.9192
69,196,TICK_196,-25.1893,10.8094,80.1441,2,541.7152
70,204,TICK_204,-24.7902,14.0962,71.8100,2,560.9286
71,212,TICK_212,-27.7881,15.7722,77.8282,4,587.5049
72,215,TICK_215,-28.1416,17.3428,80.5248,1,596.5028
73,217,TICK_217,-29.1007,17.7632,74.0898,1,603.0686
74,219,TICK_219,-29.3273,18.0985,70.9057,2,606.7101
75,221,TICK_221,-29.5577,18.4725,77.6264,4,613.4452
76,227,TICK_227,-31.2278,20.7058,75.7466,4,628.3622
77,232,TICK_232,-31.8092,22.3203,59.5816,4,644.9715
78,233,TICK_233,-32.6142,22.4670,56.3149,2,648.3391
79,244,TICK_244,-33.5914,25.2779,77.0129,2,682.5817
80,248,TICK_248,-35.1049,26.2481,77.0902,2,692.9997
81,249,TICK_249,-34.9912,26.5728,75.1472,4,694.9729
82,256,TICK_256,-36.9131,29.7291,81.0602,2,711.3042
83,260,TICK_260,-35.7447,31.5588,74.6001,2,719.5225
84,266,TICK_266,-36.3413,32.5388,74.0864,3,735.6998
85,269,TICK_269,-38.2175,32.9771,84.0037,1,745.8025
86,270,TICK_270,-38.3615,33.1416,81.6883,3,748.1282
87,271,TICK_271,-38.4158,33.3095,78.3253,3,751.4958
88,284,TICK_284,-38.0157,38.3328,71.8367,4,787.0596
89,289,TICK_289,-39.3840,40.2549,78.1903,1,800.8483
90,301,TICK_301,-39.3242,44.5680,76.7009,1,835.3621
91,314,TICK_314,-40.1009,48.7110,68.3045,1,872.4641
92,319,TICK_319,-39.2798,49.8438,71.0471,1,888.9628
93,344,TICK_344,-39.3516,58.6960,72.9971,4,954.5024
94,351,TICK_351,-39.3727,61.5031,78.2594,4,973.8738
95,356,TICK_356,-38.2573,62.8167,78.6491,1,988.0516
96,410,TICK_410,-23.8065,82.5748,77.2244,1,1134.9942
