config,weights,candidate,score,delta_windowed,delta_shuffled,pass_deltas,ngram_contrib,coverage_contrib,compress_contrib
sweep_0.2_0.3_0.5,"0.20,0.30,0.50",B0019,2.4371879255525886,0.00911753293297668,2.4944282418960224,False,1.2162758790636257,1.2811049730318476,-0.06019292654288462
sweep_0.2_0.3_0.5,"0.20,0.30,0.50",B0033,2.094374904058792,0.00911753293297668,1.7388663263304098,False,1.0403431546570487,1.1142246759446277,-0.06019292654288462
sweep_0.2_0.3_0.5,"0.20,0.30,0.50",B0027,2.702179735970826,0.00911753293297668,3.3179559869003037,False,1.1195921296149665,1.6427805328987442,-0.06019292654288462
sweep_0.2_0.3_0.5,"0.20,0.30,0.50",B0038,2.3851047181426526,0.00911753293297668,2.787425333823777,False,1.0387581751578905,1.4065394695276467,-0.06019292654288462
sweep_0.2_0.3_0.5,"0.20,0.30,0.50",B0043,2.3851047181426526,0.00911753293297668,3.054770272043514,False,1.0387581751578905,1.4065394695276467,-0.06019292654288462
sweep_0.2_0.3_0.5,"0.20,0.30,0.50",B0050,2.3851047181426526,0.00911753293297668,3.00088096907213,False,1.0387581751578905,1.4065394695276467,-0.06019292654288462
sweep_0.2_0.3_0.5,"0.20,0.30,0.50",B0053,2.702179735970826,0.00911753293297668,3.3718452898716875,False,1.1195921296149665,1.6427805328987442,-0.06019292654288462
sweep_0.2_0.3_0.5,"0.20,0.30,0.50",B0006,2.6621396432879507,0.00911753293297668,3.2818952117250064,False,1.1005512425650774,1.6217813272657577,-0.06019292654288462
sweep_0.2_0.4_0.4,"0.20,0.40,0.40",B0002,2.983720665301556,0.00911753293297668,3.5879173989561557,False,1.0739658530991945,1.957909153436669,-0.0481543412343077
sweep_0.2_0.4_0.4,"0.20,0.40,0.40",B0008,3.3769912897285272,0.00911753293297668,3.981188023383127,False,1.1537220214968427,2.2714236094659923,-0.0481543412343077
sweep_0.2_0.4_0.4,"0.20,0.40,0.40",B0019,2.876261501871782,0.00911753293297668,2.8762984712667783,False,1.2162758790636257,1.7081399640424637,-0.0481543412343077
sweep_0.2_0.4_0.4,"0.20,0.40,0.40",B0033,2.4778217146822445,0.00911753293297668,2.0350412680077277,False,1.0403431546570487,1.4856329012595038,-0.0481543412343077
sweep_0.2_0.4_0.4,"0.20,0.40,0.40",B0027,3.261811832245651,0.00911753293297668,4.019771543581692,False,1.1195921296149665,2.1903740438649923,-0.0481543412343077
