label,length,fixed_score,windowed_score,shuffled_score,delta_windowed,delta_shuffled,pass_deltas,z_ngram,z_coverage,z_compress,penalties
H2009,39,2.372219488401356,2.372219488401356,-0.3488608316624643,0.0,2.7210803200638205,False,3.2281382678059414,2.627306479681951,0.0,0.0
H2275,39,2.9837259694101945,2.9837259694101945,-0.46889358254082386,0.0,3.4526195519510186,False,4.169105154714899,3.164653285109972,0.0,0.0
H2359,39,2.0026490442126716,2.0026490442126716,-0.7486497631167871,0.0,2.7512988073294586,False,1.5814462157152662,3.6885664204022914,0.0,0.0
H2368,39,3.2776561260872583,3.2776561260872583,0.483835390454496,0.0,2.7938207356327625,False,4.404346876442137,3.7020000905379917,0.0,0.0
H2449,39,2.0026490442126716,2.0026490442126716,0.34015647192142845,0.0,1.6624925722912431,False,1.5814462157152662,3.6885664204022914,0.0,0.0
H2548,39,3.2776561260872583,3.2776561260872583,-0.0454584834317928,0.0,3.323114609519051,False,4.404346876442137,3.7020000905379917,0.0,0.0
H2577,39,2.0026490442126716,2.0026490442126716,0.34015647192142845,0.0,1.6624925722912431,False,1.5814462157152662,3.6885664204022914,0.0,0.0
H2635,39,2.372219488401356,2.372219488401356,-0.2571760329863082,0.0,2.6293955213876643,False,3.2281382678059414,2.627306479681951,0.0,0.0
H2689,39,3.595232450419032,3.595232450419032,-0.5369322135622714,0.0,4.132164663981303,False,5.110072041623855,3.7020000905379917,0.0,0.0
H2694,39,3.1717973513100013,3.1717973513100013,1.3514518843845893,0.0,1.820345466925412,False,4.169105154714899,3.7020000905379917,0.0,0.0
H2912,39,2.772008419855679,2.772008419855679,-0.5369322135622714,0.0,3.3089406334179507,False,3.69862171126042,3.164653285109972,0.0,0.0
H2914,39,2.9837259694101945,2.9837259694101945,-0.5369322135622714,0.0,3.5206581829724657,False,4.169105154714899,3.164653285109972,0.0,0.0
H0010,40,2.6755806631568575,2.6755806631568575,-0.24787589810287639,0.0,2.923456561259734,False,3.557476678224076,3.0706175941600673,0.0,0.0
H0073,40,3.1685871767326486,3.1685871767326486,0.027178497925591745,0.0,3.141408678807057,False,4.2455587142762505,3.594530729452388,0.0,0.0
H0099,40,3.191642190195989,3.191642190195989,-0.4543005089185292,0.0,3.645942699114518,False,4.704280071644368,3.0706175941600673,0.0,0.0
H0110,40,3.398066801011642,3.398066801011642,0.33681541414907057,0.0,3.0612513868625713,False,5.1630014290124855,3.0706175941600673,0.0,0.0
H0147,40,2.2857864549888935,2.2857864549888935,-0.7639374251420081,0.0,3.0497238801309017,False,3.0987553208559597,2.546704458867748,0.0,0.0
H0333,40,2.8820052739725104,2.8820052739725104,0.027178497925591745,0.0,2.854826776046919,False,4.016198035592193,3.0706175941600673,0.0,0.0
H0334,40,3.4782240929561277,3.4782240929561277,0.37139793434408136,0.0,3.1068261586120465,False,4.9336407503284265,3.594530729452388,0.0,0.0
