index,orig_letter,mutant_letter,feasible,failure_reason,pt_sha256_mutant,families_json,L_json,phase_json,seed_u64,runtime_ms
84,A,S,False,incomplete_derivation,,[],[],[],1728275862450810305,19
84,A,U,False,incomplete_derivation,,[],[],[],738310941067220096,16
84,A,Q,False,incomplete_derivation,,[],[],[],12619964762617664232,23
84,A,V,False,incomplete_derivation,,[],[],[],14546850465550238801,16
84,A,R,False,incomplete_derivation,,[],[],[],9147000750681078659,27
84,A,W,False,incomplete_derivation,,[],[],[],12516534372292563879,18
84,A,Y,False,incomplete_derivation,,[],[],[],14178578424518077888,14
84,A,X,False,incomplete_derivation,,[],[],[],16672091591607024858,17
84,A,Z,False,incomplete_derivation,,[],[],[],7220366719212038443,15
85,N,B,False,incomplete_derivation,,[],[],[],11670940440930291688,19
85,N,A,False,incomplete_derivation,,[],[],[],12502031490758932901,23
85,N,E,False,incomplete_derivation,,[],[],[],7605618861123597769,17
85,N,C,False,incomplete_derivation,,[],[],[],498937766247462337,19
85,N,D,False,incomplete_derivation,,[],[],[],1856391982888524112,20
85,N,F,False,incomplete_derivation,,[],[],[],5089379560323076029,21
85,N,H,False,incomplete_derivation,,[],[],[],3885348013635533587,19
85,N,G,False,incomplete_derivation,,[],[],[],13168944825067057741,20
85,N,K,False,incomplete_derivation,,[],[],[],14403653886914255697,13
85,N,J,False,incomplete_derivation,,[],[],[],17105703406533678955,16
85,N,I,False,incomplete_derivation,,[],[],[],827540595615636591,21
85,N,L,False,incomplete_derivation,,[],[],[],2748208533395342634,17
85,N,M,False,incomplete_derivation,,[],[],[],15635827331866951266,19
85,N,Q,False,incomplete_derivation,,[],[],[],4984623055148893092,14
85,N,P,False,incomplete_derivation,,[],[],[],7890568717377169471,16
85,N,O,False,incomplete_derivation,,[],[],[],10446597258819945006,19
85,N,R,False,incomplete_derivation,,[],[],[],15667261495026662054,15
85,N,S,False,incomplete_derivation,,[],[],[],18045411518154776207,19
85,N,V,False,incomplete_derivation,,[],[],[],1457102362919556606,13
