label,category,delta_vs_shuffled_fixed,delta_vs_shuffled_r1,delta_vs_shuffled_r2,delta_vs_shuffled_r3,delta_vs_shuffled_r4,delta_vs_fixed_r1,delta_vs_fixed_r2,delta_vs_fixed_r3,delta_vs_fixed_r4,anchor_score_fixed,anchor_score_r1,anchor_score_r2,anchor_score_r3,anchor_score_r4,anchor_delta_fixed_r1,anchor_delta_fixed_r2,anchor_delta_fixed_r3,anchor_delta_fixed_r4
CORRIDOR_SHIFT+3_038,SHIFT+3,0.0,0.025000000000000022,0.025000000000000022,0.033333333333333326,0.0625,0.025000000000000022,0.025000000000000022,0.033333333333333326,0.0625,0.0,0.16666666666666666,0.16666666666666666,0.22222222222222224,0.4166666666666667,0.16666666666666666,0.16666666666666666,0.22222222222222224,0.4166666666666667
CORRIDOR_NORTHEAST_SHIFT-1_056,NORTHEAST,0.050000000000000044,0.10999999999999999,0.07499999999999996,0.08333333333333337,0.08750000000000002,0.05999999999999994,0.02499999999999991,0.033333333333333326,0.03749999999999998,0.3333333333333333,0.7333333333333334,0.5,0.5555555555555556,0.5833333333333334,0.4000000000000001,0.16666666666666669,0.22222222222222227,0.25000000000000006
CORRIDOR_TYPO2_084,TYPO2,0.0,0.03499999999999981,0.0,0.0,0.0,0.03499999999999981,0.0,0.0,0.0,0.0,0.2333333333333333,0.0,0.0,0.0,0.2333333333333333,0.0,0.0,0.0
CORRIDOR_SHIFT+1_029,SHIFT+1,0.0,0.07499999999999996,0.07499999999999996,0.09999999999999998,0.11249999999999993,0.07499999999999996,0.07499999999999996,0.09999999999999998,0.11249999999999993,0.0,0.5,0.5,0.6666666666666666,0.75,0.5,0.5,0.6666666666666666,0.75
CORRIDOR_NORTHEAST_SHIFT+1_060,NORTHEAST,0.10000000000000009,0.125,0.125,0.1333333333333333,0.13749999999999996,0.02499999999999991,0.02499999999999991,0.033333333333333215,0.03749999999999987,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.888888888888889,0.9166666666666666,0.16666666666666674,0.16666666666666674,0.22222222222222232,0.25
CORRIDOR_BERLINCLOCK_SHIFT-1_067,BERLINCLOCK,0.09999999999999998,0.125,0.125,0.1333333333333333,0.13749999999999996,0.025000000000000036,0.025000000000000036,0.03333333333333334,0.03749999999999999,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.888888888888889,0.9166666666666666,0.16666666666666674,0.16666666666666674,0.22222222222222232,0.25
CORRIDOR_COMBO_SHIFT+1_TYPO_092,COMBO,0.050000000000000044,0.08499999999999996,0.07499999999999996,0.08333333333333337,0.08750000000000002,0.03499999999999992,0.02499999999999991,0.033333333333333326,0.03749999999999998,0.3333333333333333,0.5666666666666667,0.5,0.5555555555555556,0.5833333333333334,0.23333333333333334,0.16666666666666669,0.22222222222222227,0.25000000000000006
CORRIDOR_SHIFT+2_030,SHIFT+2,0.0,0.025000000000000022,0.025000000000000022,0.06666666666666665,0.08750000000000002,0.025000000000000022,0.025000000000000022,0.06666666666666665,0.08750000000000002,0.0,0.16666666666666666,0.16666666666666666,0.4444444444444445,0.5833333333333334,0.16666666666666666,0.16666666666666666,0.4444444444444445,0.5833333333333334
CORRIDOR_SHIFT+1_028,SHIFT+1,0.0,0.07499999999999996,0.07499999999999996,0.09999999999999998,0.11249999999999993,0.07499999999999996,0.07499999999999996,0.09999999999999998,0.11249999999999993,0.0,0.5,0.5,0.6666666666666666,0.75,0.5,0.5,0.6666666666666666,0.75
CORRIDOR_SHIFT-3_014,SHIFT-3,0.0,0.0,0.0,0.0,0.03749999999999998,0.0,0.0,0.0,0.03749999999999998,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25
CORRIDOR_PERFECT_004,PERFECT,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
