label,category,mode,score_norm,anchor_score,z_ngram,z_coverage,z_compress
CORRIDOR_SHIFT+3_038,SHIFT+3,r4,-0.4189875250491067,0.4166666666666667,-1.941152837621779,1.6403565193742373,-0.12038585308576924
CORRIDOR_SHIFT+3_038,SHIFT+3,shuffled,-0.4814875250491067,0.0,-1.941152837621779,1.6403565193742373,-0.12038585308576924
CORRIDOR_SHIFT+3_039,SHIFT+3,fixed,-0.4814875250491067,0.0,-1.941152837621779,1.6403565193742373,-0.12038585308576924
CORRIDOR_SHIFT+3_039,SHIFT+3,r1,-0.45648752504910667,0.16666666666666666,-1.941152837621779,1.6403565193742373,-0.12038585308576924
CORRIDOR_SHIFT+3_039,SHIFT+3,r2,-0.45648752504910667,0.16666666666666666,-1.941152837621779,1.6403565193742373,-0.12038585308576924
CORRIDOR_SHIFT+3_039,SHIFT+3,r3,-0.44815419171577336,0.22222222222222224,-1.941152837621779,1.6403565193742373,-0.12038585308576924
CORRIDOR_SHIFT+3_039,SHIFT+3,r4,-0.4189875250491067,0.4166666666666667,-1.941152837621779,1.6403565193742373,-0.12038585308576924
CORRIDOR_SHIFT+3_039,SHIFT+3,shuffled,-0.4814875250491067,0.0,-1.941152837621779,1.6403565193742373,-0.12038585308576924
CORRIDOR_EAST_SHIFT-2_040,EAST,fixed,-0.06164703015130012,0.6666666666666666,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-2_040,EAST,r1,-0.06164703015130012,0.6666666666666666,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-2_040,EAST,r2,-0.06164703015130012,0.6666666666666666,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-2_040,EAST,r3,-0.0449803634846334,0.7777777777777778,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-2_040,EAST,r4,-0.036647030151300095,0.8333333333333334,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-2_040,EAST,shuffled,-0.1616470301513001,0.0,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-2_041,EAST,fixed,-0.06164703015130012,0.6666666666666666,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-2_041,EAST,r1,-0.06164703015130012,0.6666666666666666,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-2_041,EAST,r2,-0.06164703015130012,0.6666666666666666,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-2_041,EAST,r3,-0.0449803634846334,0.7777777777777778,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-2_041,EAST,r4,-0.036647030151300095,0.8333333333333334,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-2_041,EAST,shuffled,-0.1616470301513001,0.0,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-2_042,EAST,fixed,-0.06164703015130012,0.6666666666666666,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
CORRIDOR_EAST_SHIFT-2_042,EAST,r1,-0.06164703015130012,0.6666666666666666,-1.6752989429629517,2.4411814885795744,-0.12038585308576924
